@relation InstanceResultListener

@attribute Key_Dataset {heart}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.ADTree,weka.classifiers.trees.RandomForest,weka.classifiers.meta.Bagging,weka.classifiers.trees.DecisionStump,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-B 10 -E -3','-I 100 -K 0 -S 1','-P 100 -S 1 -I 10 -W weka.classifiers.trees.ADTree -- -B 10 -E -3','','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-1532264837167690683,-2260823972777004705,-5178288489778728847,1618384535950391,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 30\nSize of the tree: 59\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumPredictionLeaves numeric
@attribute measureNodesExpanded numeric
@attribute measureExamplesProcessed numeric
@attribute measureOutOfBagError numeric
@attribute measureNumRules numeric

@data

heart,1,1,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,24,6,0,80,20,0,0.594595,0.253495,0.326136,50.964244,65.368305,29.906577,14.926585,14.979993,0.996886,0.497553,0.499333,15.735205,0.524507,1580.475696,0.875,14,0.285714,4,0.714286,10,0.125,2,0.777778,0.875,0.823529,0.941964,0.8,0.210714,0.789286,0.2,0.803704,0.8,0.79819,0.941964,0.011,0,0.010549,0.000106,4631,40040,6623,?,31,21,16,96,12713,?,?
heart,1,2,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,25,5,0,83.333333,16.666667,0,0.660633,0.251535,0.320153,50.570165,64.169246,29.906577,14.694006,15.212571,0.996886,0.4898,0.507086,15.972103,0.532403,1604.270209,0.9375,15,0.285714,4,0.714286,10,0.0625,1,0.789474,0.9375,0.857143,0.953125,0.833333,0.181548,0.818452,0.166667,0.845295,0.833333,0.830476,0.953125,0.01,0,0.009996,0.0001,4633,40040,6623,?,31,21,15,97,12615,?,?
heart,1,3,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,25,5,0,83.333333,16.666667,0,0.663677,0.263239,0.345593,52.923329,69.268119,29.906577,16.287857,13.61872,0.996886,0.542929,0.453957,15.066013,0.5022,1513.260675,0.875,14,0.214286,3,0.785714,11,0.125,2,0.823529,0.875,0.848485,0.897321,0.833333,0.172619,0.827381,0.166667,0.834087,0.833333,0.832772,0.897321,0.01,0,0.010161,0.0001,4631,40040,6623,?,31,21,16,99,12739,?,?
heart,1,4,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,26,4,0,86.666667,13.333333,0,0.732143,0.257665,0.33914,51.80262,67.974778,29.906577,16.072151,13.834427,0.996886,0.535738,0.461148,15.608315,0.520277,1567.73061,0.875,14,0.142857,2,0.857143,12,0.125,2,0.875,0.875,0.875,0.915179,0.866667,0.134524,0.865476,0.133333,0.866667,0.866667,0.866667,0.915179,0.009,0,0.009296,0.000098,4633,40040,6623,?,31,21,15,100,11921,?,?
heart,1,5,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,28,2,0,93.333333,6.666667,0,0.866071,0.234728,0.279144,47.191109,55.949615,29.906577,12.610345,17.296233,0.996886,0.420345,0.576541,17.414238,0.580475,1749.12114,0.9375,15,0.071429,1,0.928571,13,0.0625,1,0.9375,0.9375,0.9375,0.982143,0.933333,0.067262,0.932738,0.066667,0.933333,0.933333,0.933333,0.982143,0.01,0,0.009966,0.000098,4633,40040,6623,?,31,21,15,99,12752,?,?
heart,1,6,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,23,7,0,76.666667,23.333333,0,0.537445,0.329141,0.437239,66.172541,87.636998,29.906577,25.958285,3.948292,0.996886,0.865276,0.13161,10.842847,0.361428,1089.077402,0.6875,11,0.142857,2,0.857143,12,0.3125,5,0.846154,0.6875,0.758621,0.819196,0.766667,0.222024,0.777976,0.233333,0.780694,0.766667,0.765888,0.819196,0.01,0,0.009874,0.000101,4635,40040,6623,?,31,21,14,93,12533,?,?
heart,1,7,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,23,7,0,76.666667,23.333333,0,0.537445,0.318831,0.405712,64.099762,81.317919,29.906577,21.268724,8.637853,0.996886,0.708957,0.287928,11.543668,0.384789,1159.46928,0.6875,11,0.142857,2,0.857143,12,0.3125,5,0.846154,0.6875,0.758621,0.852679,0.766667,0.222024,0.777976,0.233333,0.780694,0.766667,0.765888,0.852679,0.01,0,0.009924,0.000098,4631,40040,6623,?,31,21,16,94,12599,?,?
heart,1,8,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,268,29,26,3,0,89.655172,10.344828,0,0.792363,0.246758,0.317507,49.732648,63.816114,28.793911,14.091388,14.702524,0.992893,0.48591,0.506984,15.749224,0.543077,1581.186506,0.875,14,0.076923,1,0.923077,12,0.125,2,0.933333,0.875,0.903226,0.927885,0.896552,0.098475,0.901525,0.103448,0.899179,0.896552,0.896799,0.927885,0.01,0,0.009896,0.000096,4633,40181,6482,?,31,21,15,94,12634,?,?
heart,1,9,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,268,29,21,8,0,72.413793,27.586207,0,0.425743,0.355284,0.444953,71.605577,89.431559,28.793911,24.504371,4.28954,0.992893,0.844978,0.147915,8.671847,0.299029,870.633802,0.875,14,0.461538,6,0.538462,7,0.125,2,0.7,0.875,0.777778,0.762019,0.724138,0.310676,0.689324,0.275862,0.734866,0.724138,0.714385,0.762019,0.01,0,0.009957,0.000102,4633,40181,6482,?,31,21,15,95,11878,?,?
