@relation InstanceResultListener

@attribute Key_Dataset {heart}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.ADTree,weka.classifiers.trees.RandomForest,weka.classifiers.meta.Bagging,weka.classifiers.trees.DecisionStump}
@attribute Key_Scheme_options {'-B 10 -E -3','-B 50 -E -3','-B 100 -E -3','-I 100 -K 0 -S 1','-I 500 -K 0 -S 1','-I 1000 -K 0 -S 1','-I 100 -K 1 -S 1','-I 100 -K 2 -S 1','-I 100 -K 4 -S 1','-P 100 -S 1 -I 10 -W weka.classifiers.trees.ADTree -- -B 10 -E -3','-P 100 -S 1 -I 50 -W weka.classifiers.trees.ADTree -- -B 10 -E -3','-P 100 -S 1 -I 100 -W weka.classifiers.trees.ADTree -- -B 10 -E -3',''}
@attribute Key_Scheme_version_ID {-1532264837167690683,-2260823972777004705,-5178288489778728847,1618384535950391}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumPredictionLeaves numeric
@attribute measureNodesExpanded numeric
@attribute measureExamplesProcessed numeric
@attribute measureOutOfBagError numeric

@data

heart,1,1,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,24,6,0,80,20,0,0.594595,0.253495,0.326136,50.964244,65.368305,29.906577,14.926585,14.979993,0.996886,0.497553,0.499333,15.735205,0.524507,1580.475696,0.875,14,0.285714,4,0.714286,10,0.125,2,0.777778,0.875,0.823529,0.941964,0.8,0.210714,0.789286,0.2,0.803704,0.8,0.79819,0.941964,0.011,0,0.011001,0.000032,4631,40040,6623,?,31,21,16,96,12713,?
heart,1,2,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,25,5,0,83.333333,16.666667,0,0.660633,0.251535,0.320153,50.570165,64.169246,29.906577,14.694006,15.212571,0.996886,0.4898,0.507086,15.972103,0.532403,1604.270209,0.9375,15,0.285714,4,0.714286,10,0.0625,1,0.789474,0.9375,0.857143,0.953125,0.833333,0.181548,0.818452,0.166667,0.845295,0.833333,0.830476,0.953125,0.01,0,0.009741,0.000032,4633,40040,6623,?,31,21,15,97,12615,?
heart,1,3,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,25,5,0,83.333333,16.666667,0,0.663677,0.263239,0.345593,52.923329,69.268119,29.906577,16.287857,13.61872,0.996886,0.542929,0.453957,15.066013,0.5022,1513.260675,0.875,14,0.214286,3,0.785714,11,0.125,2,0.823529,0.875,0.848485,0.897321,0.833333,0.172619,0.827381,0.166667,0.834087,0.833333,0.832772,0.897321,0.011,0,0.010635,0.000042,4631,40040,6623,?,31,21,16,99,12739,?
heart,1,4,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,26,4,0,86.666667,13.333333,0,0.732143,0.257665,0.33914,51.80262,67.974778,29.906577,16.072151,13.834427,0.996886,0.535738,0.461148,15.608315,0.520277,1567.73061,0.875,14,0.142857,2,0.857143,12,0.125,2,0.875,0.875,0.875,0.915179,0.866667,0.134524,0.865476,0.133333,0.866667,0.866667,0.866667,0.915179,0.011,0,0.011006,0.000027,4633,40040,6623,?,31,21,15,100,11921,?
heart,1,5,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,28,2,0,93.333333,6.666667,0,0.866071,0.234728,0.279144,47.191109,55.949615,29.906577,12.610345,17.296233,0.996886,0.420345,0.576541,17.414238,0.580475,1749.12114,0.9375,15,0.071429,1,0.928571,13,0.0625,1,0.9375,0.9375,0.9375,0.982143,0.933333,0.067262,0.932738,0.066667,0.933333,0.933333,0.933333,0.982143,0.009,0,0.009457,0.000025,4633,40040,6623,?,31,21,15,99,12752,?
heart,1,6,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,23,7,0,76.666667,23.333333,0,0.537445,0.329141,0.437239,66.172541,87.636998,29.906577,25.958285,3.948292,0.996886,0.865276,0.13161,10.842847,0.361428,1089.077402,0.6875,11,0.142857,2,0.857143,12,0.3125,5,0.846154,0.6875,0.758621,0.819196,0.766667,0.222024,0.777976,0.233333,0.780694,0.766667,0.765888,0.819196,0.012,0,0.012574,0.000031,4635,40040,6623,?,31,21,14,93,12533,?
heart,1,7,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,23,7,0,76.666667,23.333333,0,0.537445,0.318831,0.405712,64.099762,81.317919,29.906577,21.268724,8.637853,0.996886,0.708957,0.287928,11.543668,0.384789,1159.46928,0.6875,11,0.142857,2,0.857143,12,0.3125,5,0.846154,0.6875,0.758621,0.852679,0.766667,0.222024,0.777976,0.233333,0.780694,0.766667,0.765888,0.852679,0.01,0,0.009581,0.000026,4631,40040,6623,?,31,21,16,94,12599,?
heart,1,8,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,26,3,0,89.655172,10.344828,0,0.792363,0.246758,0.317507,49.732648,63.816114,28.793911,14.091388,14.702524,0.992893,0.48591,0.506984,15.749224,0.543077,1581.186506,0.875,14,0.076923,1,0.923077,12,0.125,2,0.933333,0.875,0.903226,0.927885,0.896552,0.098475,0.901525,0.103448,0.899179,0.896552,0.896799,0.927885,0.009,0,0.009134,0.000024,4633,40181,6482,?,31,21,15,94,12634,?
heart,1,9,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,21,8,0,72.413793,27.586207,0,0.425743,0.355284,0.444953,71.605577,89.431559,28.793911,24.504371,4.28954,0.992893,0.844978,0.147915,8.671847,0.299029,870.633802,0.875,14,0.461538,6,0.538462,7,0.125,2,0.7,0.875,0.777778,0.762019,0.724138,0.310676,0.689324,0.275862,0.734866,0.724138,0.714385,0.762019,0.015,0,0.010957,0.000032,4633,40181,6482,?,31,21,15,95,11878,?
heart,1,10,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,25,4,0,86.206897,13.793103,0,0.717073,0.26043,0.342035,52.488122,68.746029,28.793911,15.823814,12.970097,0.992893,0.545649,0.447245,14.833157,0.511488,1489.215435,0.9375,15,0.230769,3,0.769231,10,0.0625,1,0.833333,0.9375,0.882353,0.903846,0.862069,0.155338,0.844662,0.137931,0.867294,0.862069,0.860379,0.903846,0.009,0.001,0.009191,0.000023,4631,40181,6482,?,31,21,16,95,12653,?
heart,2,1,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,25,5,0,83.333333,16.666667,0,0.660633,0.270933,0.359131,54.470125,71.981566,29.906577,17.294821,12.611756,0.996886,0.576494,0.420392,14.593701,0.486457,1465.82073,0.9375,15,0.285714,4,0.714286,10,0.0625,1,0.789474,0.9375,0.857143,0.895089,0.833333,0.181548,0.818452,0.166667,0.845295,0.833333,0.830476,0.895089,0.009,0,0.008567,0.000026,4635,40040,6623,?,31,21,14,96,11610,?
heart,2,2,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,27,3,0,90,10,0,0.8,0.266377,0.325661,53.554067,65.273066,29.906577,15.334312,14.572265,0.996886,0.511144,0.485742,15.298997,0.509967,1536.66206,0.875,14,0.071429,1,0.928571,13,0.125,2,0.933333,0.875,0.903226,0.941964,0.9,0.096429,0.903571,0.1,0.902222,0.9,0.900111,0.941964,0.01,0,0.009051,0.000023,4631,40040,6623,?,31,21,16,96,12659,?
heart,2,3,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,25,5,0,83.333333,16.666667,0,0.663677,0.275782,0.373116,55.445027,74.784701,29.906577,19.327106,10.579471,0.996886,0.644237,0.352649,14.27052,0.475684,1433.359744,0.875,14,0.214286,3,0.785714,11,0.125,2,0.823529,0.875,0.848485,0.870536,0.833333,0.172619,0.827381,0.166667,0.834087,0.833333,0.832772,0.870536,0.009,0,0.008806,0.000026,4633,40040,6623,?,31,21,15,94,12236,?
heart,2,4,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,21,9,0,70,30,0,0.394619,0.342873,0.426169,68.933347,85.418237,29.906577,22.426384,7.480193,0.996886,0.747546,0.24934,9.730095,0.324336,977.310318,0.75,12,0.357143,5,0.642857,9,0.25,4,0.705882,0.75,0.727273,0.823661,0.7,0.307143,0.692857,0.3,0.699548,0.7,0.69899,0.823661,0.008,0,0.008801,0.000025,4633,40040,6623,?,31,21,15,93,12472,?
heart,2,5,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,23,7,0,76.666667,23.333333,0,0.529148,0.330575,0.409205,66.460897,82.018083,29.906577,21.912672,7.993905,0.996886,0.730422,0.266464,10.923516,0.364117,1097.179946,0.8125,13,0.285714,4,0.714286,10,0.1875,3,0.764706,0.8125,0.787879,0.832589,0.766667,0.239881,0.760119,0.233333,0.766817,0.766667,0.765881,0.832589,0.009,0,0.008995,0.000023,4631,40040,6623,?,31,21,16,94,12493,?
heart,2,6,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,23,7,0,76.666667,23.333333,0,0.541485,0.322839,0.419226,64.905667,84.026761,29.906577,22.228747,7.67783,0.996886,0.740958,0.255928,11.184058,0.372802,1123.349331,0.625,10,0.071429,1,0.928571,13,0.375,6,0.909091,0.625,0.740741,0.841518,0.766667,0.213095,0.786905,0.233333,0.804147,0.766667,0.762738,0.841518,0.009,0,0.00879,0.000024,4631,40040,6623,?,31,21,16,91,12490,?
heart,2,7,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,23,7,0,76.666667,23.333333,0,0.533333,0.297952,0.373817,59.902185,74.925254,29.906577,18.467477,11.439101,0.996886,0.615583,0.381303,12.851002,0.428367,1290.780474,0.75,12,0.214286,3,0.785714,11,0.25,4,0.8,0.75,0.774194,0.881696,0.766667,0.230952,0.769048,0.233333,0.768889,0.766667,0.766926,0.881696,0.008,0,0.008332,0.000024,4633,40040,6623,?,31,21,15,99,11886,?
heart,2,8,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,24,5,0,82.758621,17.241379,0,0.643735,0.267908,0.328245,53.995347,65.974301,28.793911,14.789025,14.004886,0.992893,0.509966,0.482927,14.366726,0.495404,1442.386795,0.9375,15,0.307692,4,0.692308,9,0.0625,1,0.789474,0.9375,0.857143,0.939904,0.827586,0.197779,0.802221,0.172414,0.83902,0.827586,0.823731,0.939904,0.009,0,0.008982,0.000023,4633,40181,6482,?,31,21,15,97,12619,?
