@relation InstanceResultListener

@attribute Key_Dataset {heart}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-I 1000 -K 0 -S 1','-I 1000 -K 1 -S 1','-I 1000 -K 2 -S 1','-I 1000 -K 4 -S 1','-I 1000 -K 8 -S 1'}
@attribute Key_Scheme_version_ID {-2260823972777004705}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

heart,1,1,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.114,267,30,27,3,0,90,10,0,0.8,0.216233,0.294047,43.47292,58.936608,29.906577,12.411616,17.494961,0.996886,0.413721,0.583165,17.904053,0.596802,1798.319124,0.875,14,0.071429,1,0.928571,13,0.125,2,0.933333,0.875,0.903226,0.973214,0.9,0.096429,0.903571,0.1,0.902222,0.9,0.900111,0.973214,0.633,0.005,0.621384,0.004937,5154050,40040,6623,?,0.17603
heart,1,2,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.114,267,30,25,5,0,83.333333,16.666667,0,0.660633,0.250433,0.318428,50.348705,63.823465,29.906577,14.439864,15.466713,0.996886,0.481329,0.515557,16.011316,0.533711,1608.208801,0.9375,15,0.285714,4,0.714286,10,0.0625,1,0.789474,0.9375,0.857143,0.959821,0.833333,0.181548,0.818452,0.166667,0.845295,0.833333,0.830476,0.959821,0.611,0.011,0.609913,0.011631,5107450,40040,6623,?,0.179775
heart,1,3,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.114,267,30,28,2,0,93.333333,6.666667,0,0.864865,0.2298,0.29701,46.200448,59.530536,29.906577,13.128073,16.778504,0.996886,0.437602,0.559283,17.438884,0.581296,1751.596626,1,16,0.142857,2,0.857143,12,0,0,0.888889,1,0.941176,0.941964,0.933333,0.07619,0.92381,0.066667,0.940741,0.933333,0.93273,0.941964,0.613,0.012,0.612705,0.011836,5163217,40040,6623,?,0.194757
heart,1,4,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.114,267,30,26,4,0,86.666667,13.333333,0,0.732143,0.2166,0.313557,43.546637,62.847125,29.906577,13.632181,16.274396,0.996886,0.454406,0.54248,17.782212,0.59274,1786.081193,0.875,14,0.142857,2,0.857143,12,0.125,2,0.875,0.875,0.875,0.935268,0.866667,0.134524,0.865476,0.133333,0.866667,0.866667,0.866667,0.935268,0.609,0.012,0.608912,0.011627,5155130,40040,6623,?,0.172285
heart,1,5,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.114,267,30,28,2,0,93.333333,6.666667,0,0.864865,0.239767,0.299549,48.20421,60.039425,29.906577,13.415757,16.490821,0.996886,0.447192,0.549694,16.858469,0.561949,1693.298578,1,16,0.142857,2,0.857143,12,0,0,0.888889,1,0.941176,0.982143,0.933333,0.07619,0.92381,0.066667,0.940741,0.933333,0.93273,0.982143,0.626,0.011,0.624927,0.010902,5170188,40040,6623,?,0.191011
heart,1,6,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.114,267,30,21,9,0,70,30,0,0.4,0.3234,0.423439,65.018386,84.871073,29.906577,24.457258,5.449319,0.996886,0.815242,0.181644,10.916214,0.363874,1096.446477,0.6875,11,0.285714,4,0.714286,10,0.3125,5,0.733333,0.6875,0.709677,0.803571,0.7,0.298214,0.701786,0.3,0.702222,0.7,0.700334,0.803571,0.585,0.011,0.583837,0.011674,4783949,40040,6623,?,0.17603
heart,1,7,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.114,267,30,23,7,0,76.666667,23.333333,0,0.537445,0.3369,0.426925,67.732511,85.56975,29.906577,24.082508,5.824069,0.996886,0.80275,0.194136,10.489215,0.349641,1053.557899,0.6875,11,0.142857,2,0.857143,12,0.3125,5,0.846154,0.6875,0.758621,0.821429,0.766667,0.222024,0.777976,0.233333,0.780694,0.766667,0.765888,0.821429,0.59,0.011,0.589151,0.01151,4807802,40040,6623,?,0.183521
heart,1,8,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.114,268,29,25,4,0,86.206897,13.793103,0,0.721154,0.225448,0.304402,45.437838,61.182089,28.793911,12.969349,15.824562,0.992893,0.447219,0.545675,16.80675,0.579543,1687.359724,0.875,14,0.153846,2,0.846154,11,0.125,2,0.875,0.875,0.875,0.961538,0.862069,0.140915,0.859085,0.137931,0.862069,0.862069,0.862069,0.961538,0.616,0.011,0.615555,0.010441,5146252,40181,6482,?,0.175373
heart,1,9,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,19,10,0,65.517241,34.482759,0,0.282178,0.389448,0.471137,78.49112,94.694415,28.793911,25.557667,3.236244,0.992893,0.881299,0.111595,6.243835,0.215305,626.866954,0.8125,13,0.538462,7,0.461538,6,0.1875,3,0.65,0.8125,0.722222,0.677885,0.655172,0.381134,0.618866,0.344828,0.657471,0.655172,0.642982,0.677885,0.593,0.01,0.592531,0.01072,4806536,40181,6482,?,0.149254
heart,1,10,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,26,3,0,89.655172,10.344828,0,0.786241,0.231138,0.338312,46.584556,67.997708,28.793911,15.803097,12.990814,0.992893,0.544934,0.447959,16.46237,0.567668,1652.784765,1,16,0.230769,3,0.769231,10,0,0,0.842105,1,0.914286,0.875,0.896552,0.127321,0.872679,0.103448,0.912886,0.896552,0.894239,0.875,0.612,0.006,0.604466,0.005991,5065599,40181,6482,?,0.182836
heart,2,1,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,26,4,0,86.666667,13.333333,0,0.732143,0.248967,0.333371,50.053837,66.818562,29.906577,15.329664,14.576913,0.996886,0.510989,0.485897,15.991552,0.533052,1606.223711,0.875,14,0.142857,2,0.857143,12,0.125,2,0.875,0.875,0.875,0.924107,0.866667,0.134524,0.865476,0.133333,0.866667,0.866667,0.866667,0.924107,0.654,0.005,0.646187,0.004854,5081080,40040,6623,?,0.198502
heart,2,2,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,26,4,0,86.666667,13.333333,0,0.734513,0.252567,0.329831,50.777603,66.10891,29.906577,15.113776,14.792801,0.996886,0.503793,0.493093,15.787418,0.526247,1585.720042,0.8125,13,0.071429,1,0.928571,13,0.1875,3,0.928571,0.8125,0.866667,0.935268,0.866667,0.125595,0.874405,0.133333,0.874405,0.866667,0.866667,0.935268,0.607,0.005,0.600621,0.004844,5082162,40040,6623,?,0.17603
heart,2,3,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,26,4,0,86.666667,13.333333,0,0.72973,0.2541,0.36724,51.085874,73.607037,29.906577,20.258797,9.64778,0.996886,0.675293,0.321593,15.619674,0.520656,1568.871519,0.9375,15,0.214286,3,0.785714,11,0.0625,1,0.833333,0.9375,0.882353,0.870536,0.866667,0.143452,0.856548,0.133333,0.872222,0.866667,0.86546,0.870536,0.596,0.005,0.589253,0.004913,4949987,40040,6623,?,0.168539
heart,2,4,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,24,6,0,80,20,0,0.594595,0.3131,0.401666,62.947608,80.507025,29.906577,20.90877,8.997807,0.996886,0.696959,0.299927,11.970066,0.399002,1202.297513,0.875,14,0.285714,4,0.714286,10,0.125,2,0.777778,0.875,0.823529,0.830357,0.8,0.210714,0.789286,0.2,0.803704,0.8,0.79819,0.830357,0.631,0.006,0.622489,0.005541,4856069,40040,6623,?,0.191011
heart,2,5,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,22,8,0,73.333333,26.666667,0,0.459459,0.3153,0.415234,63.38991,83.226588,29.906577,21.175204,8.731373,0.996886,0.70584,0.291046,11.361672,0.378722,1141.189195,0.8125,13,0.357143,5,0.642857,9,0.1875,3,0.722222,0.8125,0.764706,0.819196,0.733333,0.277976,0.722024,0.266667,0.735185,0.733333,0.73092,0.819196,0.638,0.006,0.625679,0.005364,4891885,40040,6623,?,0.168539
heart,2,6,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,24,6,0,80,20,0,0.605263,0.302367,0.395662,60.789711,79.303615,29.906577,20.391745,9.514832,0.996886,0.679725,0.317161,12.533965,0.417799,1258.936657,0.6875,11,0.071429,1,0.928571,13,0.3125,5,0.916667,0.6875,0.785714,0.850446,0.8,0.183929,0.816071,0.2,0.825926,0.8,0.798214,0.850446,0.624,0.013,0.62277,0.006925,4923972,40040,6623,?,0.179775
heart,2,7,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,28,2,0,93.333333,6.666667,0,0.864865,0.2416,0.29812,48.572795,59.753108,29.906577,13.406697,16.49988,0.996886,0.44689,0.549996,16.828152,0.560938,1690.253527,1,16,0.142857,2,0.857143,12,0,0,0.888889,1,0.941176,0.941964,0.933333,0.07619,0.92381,0.066667,0.940741,0.933333,0.93273,0.941964,0.611,0.012,0.610158,0.011525,5201909,40040,6623,?,0.179775
heart,2,8,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,24,5,0,82.758621,17.241379,0,0.64891,0.258138,0.347416,52.026255,69.827651,28.793911,15.467626,13.326285,0.992893,0.533366,0.459527,14.511421,0.500394,1456.913905,0.875,14,0.230769,3,0.769231,10,0.125,2,0.823529,0.875,0.848485,0.923077,0.827586,0.183355,0.816645,0.172414,0.827924,0.827586,0.82675,0.923077,0.617,0.012,0.615469,0.011575,5076273,40181,6482,?,0.16791
heart,2,9,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,24,5,0,82.758621,17.241379,0,0.64891,0.262759,0.338075,52.957529,67.950112,28.793911,14.820713,13.973198,0.992893,0.511059,0.481834,14.308668,0.493402,1436.557898,0.875,14,0.230769,3,0.769231,10,0.125,2,0.823529,0.875,0.848485,0.927885,0.827586,0.183355,0.816645,0.172414,0.827924,0.827586,0.82675,0.927885,0.618,0.011,0.617145,0.011403,5080401,40181,6482,?,0.175373
heart,2,10,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,26,3,0,89.655172,10.344828,0,0.786241,0.230172,0.315017,46.389961,63.315547,28.793911,13.489233,15.304678,0.992893,0.465146,0.527748,16.474497,0.568086,1654.002219,1,16,0.230769,3,0.769231,10,0,0,0.842105,1,0.914286,0.961538,0.896552,0.127321,0.872679,0.103448,0.912886,0.896552,0.894239,0.961538,0.609,0.011,0.608386,0.011066,5120375,40181,6482,?,0.182836
heart,3,1,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,25,5,0,83.333333,16.666667,0,0.660633,0.234067,0.354389,47.058246,71.031245,29.906577,16.115865,13.790712,0.996886,0.537195,0.45969,16.462317,0.548744,1653.508269,0.9375,15,0.285714,4,0.714286,10,0.0625,1,0.789474,0.9375,0.857143,0.928571,0.833333,0.181548,0.818452,0.166667,0.845295,0.833333,0.830476,0.928571,0.607,0.01,0.606626,0.010755,5020479,40040,6623,?,0.17603
heart,3,2,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,24,6,0,80,20,0,0.594595,0.273,0.354625,54.88565,71.078492,29.906577,16.871097,13.03548,0.996886,0.56237,0.434516,14.454768,0.481826,1451.866058,0.875,14,0.285714,4,0.714286,10,0.125,2,0.777778,0.875,0.823529,0.919643,0.8,0.210714,0.789286,0.2,0.803704,0.8,0.79819,0.919643,0.612,0.01,0.611221,0.010537,5022164,40040,6623,?,0.168539
