@relation InstanceResultListener

@attribute Key_Dataset {heart}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 30\nSize of the tree: 59\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

heart,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,24,6,0,80,20,0,0.60177,0.236008,0.413693,47.448562,82.917637,29.906577,2162.098581,-2132.192004,0.996886,72.069953,-71.073067,16.218741,0.540625,1629.043025,0.75,12,0.142857,2,0.857143,12,0.25,4,0.857143,0.75,0.8,0.823661,0.8,0.192857,0.807143,0.2,0.807143,0.8,0.8,0.823661,0.004,0,0.003636,0.000028,10365,40040,6623,'Number of leaves: 19\nSize of the tree: 37\n',37,19,19
heart,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,23,7,0,76.666667,23.333333,0,0.524887,0.24336,0.442851,48.926571,88.761961,29.906577,2166.628539,-2136.721962,0.996886,72.220951,-71.224065,15.392338,0.513078,1546.037408,0.875,14,0.357143,5,0.642857,9,0.125,2,0.736842,0.875,0.8,0.767857,0.766667,0.24881,0.75119,0.233333,0.774801,0.766667,0.762667,0.767857,0.003,0,0.002628,0.000024,10365,40040,6623,'Number of leaves: 19\nSize of the tree: 37\n',37,19,19
heart,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,25,5,0,83.333333,16.666667,0,0.663677,0.211283,0.375133,42.477726,75.188891,29.906577,2158.604184,-2128.697607,0.996886,71.953473,-70.956587,17.83929,0.594643,1791.814235,0.875,14,0.214286,3,0.785714,11,0.125,2,0.823529,0.875,0.848485,0.845982,0.833333,0.172619,0.827381,0.166667,0.834087,0.833333,0.832772,0.845982,0.002,0,0.002563,0.000024,11087,40040,6623,'Number of leaves: 21\nSize of the tree: 41\n',41,21,21
heart,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,27,3,0,90,10,0,0.798206,0.171808,0.31326,34.541387,62.787563,29.906577,15.026019,14.880558,0.996886,0.500867,0.496019,20.471252,0.682375,2056.173818,0.9375,15,0.142857,2,0.857143,12,0.0625,1,0.882353,0.9375,0.909091,0.892857,0.9,0.105357,0.894643,0.1,0.901357,0.9,0.899663,0.892857,0.003,0,0.002735,0.000021,9643,40040,6623,'Number of leaves: 17\nSize of the tree: 33\n',33,17,17
heart,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,23,7,0,76.666667,23.333333,0,0.520548,0.273167,0.447233,54.919166,89.640192,29.906577,3235.517059,-3205.610482,0.996886,107.850569,-106.853683,14.039285,0.467976,1410.134049,0.9375,15,0.428571,6,0.571429,8,0.0625,1,0.714286,0.9375,0.810811,0.752232,0.766667,0.257738,0.742262,0.233333,0.795767,0.766667,0.75707,0.752232,0.002,0,0.002445,0.000023,10726,40040,6623,'Number of leaves: 20\nSize of the tree: 39\n',39,20,20
heart,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,23,7,0,76.666667,23.333333,0,0.533333,0.27044,0.452665,54.370972,90.728943,29.906577,2168.294527,-2138.38795,0.996886,72.276484,-71.279598,14.110904,0.470363,1417.327628,0.75,12,0.214286,3,0.785714,11,0.25,4,0.8,0.75,0.774194,0.774554,0.766667,0.230952,0.769048,0.233333,0.768889,0.766667,0.766926,0.774554,0.002,0,0.002524,0.000023,9643,40040,6623,'Number of leaves: 17\nSize of the tree: 33\n',33,17,17
heart,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,20,10,0,66.666667,33.333333,0,0.336283,0.350838,0.550385,70.534616,110.315134,29.906577,5390.004693,-5360.098115,0.996886,179.666823,-178.669937,9.110339,0.303678,915.060841,0.625,10,0.285714,4,0.714286,10,0.375,6,0.714286,0.625,0.666667,0.640625,0.666667,0.327381,0.672619,0.333333,0.672619,0.666667,0.666667,0.640625,0.003,0,0.002301,0.000025,12531,40040,6623,'Number of leaves: 25\nSize of the tree: 49\n',49,25,25
heart,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,268,29,22,7,0,75.862069,24.137931,0,0.515513,0.258594,0.485988,52.118094,97.679269,28.793911,5380.529338,-5351.735427,0.992893,185.535494,-184.542601,14.006351,0.482978,1406.205952,0.75,12,0.230769,3,0.769231,10,0.25,4,0.8,0.75,0.774194,0.663462,0.758621,0.23939,0.76061,0.241379,0.761576,0.758621,0.759197,0.663462,0.003,0,0.002588,0.000022,12892,40181,6482,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26
heart,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,268,29,18,11,0,62.068966,37.931034,0,0.227603,0.387493,0.574073,78.097038,115.383649,28.793911,4321.307171,-4292.51326,0.992893,149.010592,-148.017699,6.378934,0.219963,640.430516,0.6875,11,0.461538,6,0.538462,7,0.3125,5,0.647059,0.6875,0.666667,0.646635,0.62069,0.394728,0.605272,0.37931,0.618492,0.62069,0.618851,0.646635,0.002,0,0.002359,0.000022,10365,40181,6482,'Number of leaves: 19\nSize of the tree: 37\n',37,19,19
heart,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,268,29,26,3,0,89.655172,10.344828,0,0.789346,0.174909,0.319823,35.251937,64.281565,28.793911,1084.071012,-1055.277101,0.992893,37.381759,-36.388866,19.479101,0.671693,1955.657707,0.9375,15,0.153846,2,0.846154,11,0.0625,1,0.882353,0.9375,0.909091,0.877404,0.896552,0.112898,0.887102,0.103448,0.897735,0.896552,0.89605,0.877404,0.002,0,0.002374,0.000022,10004,40181,6482,'Number of leaves: 18\nSize of the tree: 35\n',35,18,18
